Tahun,Brand,Model,EngineSize,Jarak,Transmisi,Harga
2019,Toyota,Agya,1.2,25000,Manual,121153000
2019,Toyota,Agya,1.2,25000,Manual,126000000
2019,Toyota,Agya,1.2,43517,Automatic,134180000
2019,Toyota,Agya,1.2,26000,Automatic,138000000
2019,Toyota,Agya,1.2,3086,Automatic,135000000
2019,Toyota,Agya,1.2,15000,Automatic,135000000
2019,Toyota,Agya,1.2,45000,Automatic,119500000
2020,Toyota,Agya,1.2,11200,Automatic,138000000
2020,Toyota,Agya,1.2,27000,Automatic,130000000
2020,Toyota,Agya,1.2,12000,Manual,129000000
2020,Toyota,Agya,1.2,11200,Automatic,128000000
2020,Toyota,Agya,1.2,7158,Automatic,144530000
2020,Toyota,Agya,1.2,10000,Automatic,139030000
2020,Toyota,Agya,1.2,10000,Automatic,139030000
2020,Toyota,Agya,1.2,10000,Automatic,139030000
2020,Toyota,Agya,1.2,10000,Automatic,139030000
2020,Toyota,Agya,1.2,10000,Automatic,139030000
2020,Toyota,Agya,1.2,10000,Automatic,139030000
2020,Toyota,Agya,1.2,10000,Automatic,139030000
2020,Toyota,Agya,1.2,10000,Automatic,149000000
2020,Toyota,Agya,1.2,13000,Automatic,140000000
2021,Toyota,Agya,1.2,2454,Manual,135800000
2021,Toyota,Agya,1.2,5000,Manual,135800000
2021,Toyota,Agya,1.2,12000,Manual,140000000
2021,Toyota,Agya,1.2,15000,Manual,143000000
2010,Toyota,Alphard,2.4,67200,Automatic,295000000
2010,Toyota,Alphard,2.4,72800,Automatic,275000000
2010,Toyota,Alphard,2.4,134400,Automatic,265000000
2010,Toyota,Alphard,2.4,130000,Automatic,200000000
2010,Toyota,Alphard,2.4,90000,Automatic,290000000
2010,Toyota,Alphard,2.4,105000,Automatic,285000000
2011,Toyota,Alphard,2.4,117600,Automatic,255000000
2011,Toyota,Alphard,2.4,90000,Automatic,349000000
2011,Toyota,Alphard,2.4,145000,Automatic,310000000
2011,Toyota,Alphard,2.4,70000,Automatic,350000000
2011,Toyota,Alphard,2.4,122000,Automatic,255000000
2011,Toyota,Alphard,2.4,105000,Automatic,320000000
2012,Toyota,Alphard,2.4,106400,Automatic,370000000
2012,Toyota,Alphard,2.4,78400,Automatic,360000000
2012,Toyota,Alphard,2.4,78400,Automatic,359000000
2012,Toyota,Alphard,2.4,78400,Automatic,359000000
2012,Toyota,Alphard,2.4,117600,Automatic,355000000
2012,Toyota,Alphard,2.4,100800,Automatic,325000000
2012,Toyota,Alphard,2.4,38555,Automatic,371500000
2012,Toyota,Alphard,2.4,75000,Automatic,355000000
2013,Toyota,Alphard,2.4,38000,Automatic,475000000
2013,Toyota,Alphard,2.4,48000,Automatic,420000000
2013,Toyota,Alphard,2.4,48526,Automatic,420000000
2013,Toyota,Alphard,2.4,112000,Automatic,375000000
2013,Toyota,Alphard,2.4,55000,Automatic,369000000
2013,Toyota,Alphard,2.4,94000,Automatic,356000000
2013,Toyota,Alphard,2.4,106400,Automatic,356000000
2013,Toyota,Alphard,2.4,80000,Automatic,399000000
2013,Toyota,Alphard,2.4,75000,Automatic,369000000
2014,Toyota,Alphard,2.4,100800,Automatic,468000000
2014,Toyota,Alphard,2.4,112000,Automatic,390000000
2014,Toyota,Alphard,2.4,112000,Automatic,380000000
2014,Toyota,Alphard,2.4,95000,Automatic,485000000
2015,Toyota,Alphard,2.4,20000,Automatic,845000000
